timestamp_s,peer_id,action,active_count
0.501,10,leave,49
1.0,40,leave,48
1.5,8,leave,47
2.001,2,leave,46
2.5,13,leave,45
3.0,32,leave,44
3.5,4,leave,43
4.0,47,leave,42
4.501,13,join,43
5.004,32,join,44
5.502,10,join,45
6.0,8,join,46
6.501,47,join,47
7.002,20,leave,46
7.502,4,join,47
8.001,22,leave,46
8.501,1,leave,45
9.002,18,leave,44
9.501,29,leave,43
10.001,2,join,44
10.501,45,leave,43
11.002,29,join,44
11.502,45,join,45
12.001,40,join,46
12.501,18,join,47
13.0,20,join,48
13.502,1,join,49
14.002,4,leave,48
14.5,33,leave,47
15.002,33,join,48
15.5,47,leave,47
16.0,47,join,48
16.502,33,leave,47
17.001,22,join,48
17.501,7,leave,47
18.002,29,leave,46
18.501,22,leave,45
19.001,27,leave,44
19.5,29,join,45
20.001,7,join,46
20.501,22,join,47
21.0,4,join,48
21.5,36,leave,47
22.002,33,join,48
22.5,36,join,49
23.0,27,join,50
23.501,2,leave,49
24.001,22,leave,48
24.501,14,leave,47
25.001,22,join,48
25.501,2,join,49
26.0,14,join,50
26.5,20,leave,49
27.0,20,join,50
27.5,45,leave,49
28.001,33,leave,48
28.502,3,leave,47
29.003,33,join,48
29.5,41,leave,47
30.001,3,join,48
30.5,37,leave,47
31.0,9,leave,46
31.502,29,leave,45
32.002,9,join,46
32.5,12,leave,45
33.0,41,join,46
33.501,15,leave,45
34.002,29,join,46
34.501,28,leave,45
35.001,50,leave,44
35.501,33,leave,43
36.0,50,join,44
36.503,33,join,45
37.0,12,join,46
37.5,27,leave,45
38.001,15,join,46
38.501,28,join,47
39.001,27,join,48
39.501,45,join,49
40.002,37,join,50
40.5,3,leave,49
41.0,43,leave,48
41.501,19,leave,47
42.001,3,join,48
42.5,19,join,49
43.0,41,leave,48
43.502,23,leave,47
44.001,43,join,48
44.502,23,join,49
45.002,41,join,50
45.501,5,leave,49
46.002,44,leave,48
46.501,5,join,49
47.002,17,leave,48
47.5,44,join,49
48.0,3,leave,48
48.502,35,leave,47
49.001,3,join,48
49.502,31,leave,47
50.001,35,join,48
50.5,17,join,49
51.0,31,join,50
51.501,44,leave,49
52.002,5,leave,48
52.502,50,leave,47
53.0,14,leave,46
53.501,37,leave,45
54.0,7,leave,44
54.501,27,leave,43
55.0,5,join,44
55.501,50,join,45
56.001,47,leave,44
56.502,7,join,45
57.003,47,join,46
57.5,27,join,47
58.0,24,leave,46
58.501,25,leave,45
59.0,14,join,46
59.501,44,join,47
