peer_id,start,end,duration,success
44,1746389503.964,1746389506.460,2.496,False
25,1746389503.946,1746389506.474,2.528,False
33,1746389503.952,1746389506.477,2.525,False
21,1746389503.938,1746389506.490,2.552,False
6,1746389503.909,1746389506.600,2.691,False
22,1746389503.945,1746389506.908,2.963,False
47,1746389503.966,1746389506.980,3.014,False
43,1746389503.961,1746389507.147,3.186,True
24,1746389503.946,1746389507.183,3.237,True
28,1746389503.948,1746389507.183,3.235,True
16,1746389503.933,1746389507.190,3.257,True
13,1746389503.921,1746389507.224,3.303,True
37,1746389503.957,1746389507.230,3.273,True
5,1746389503.908,1746389507.232,3.324,True
38,1746389503.958,1746389507.241,3.284,True
39,1746389503.958,1746389507.241,3.284,True
14,1746389503.931,1746389507.259,3.328,True
3,1746389503.907,1746389507.265,3.358,True
18,1746389503.936,1746389507.265,3.329,True
50,1746389503.968,1746389507.271,3.303,True
46,1746389503.966,1746389507.274,3.308,True
34,1746389503.955,1746389507.319,3.364,True
10,1746389503.915,1746389507.320,3.405,True
35,1746389503.956,1746389507.352,3.397,True
45,1746389503.965,1746389507.358,3.393,True
4,1746389503.908,1746389507.371,3.463,True
41,1746389503.960,1746389507.414,3.455,True
42,1746389503.961,1746389507.419,3.458,True
23,1746389503.945,1746389507.426,3.481,True
19,1746389503.937,1746389507.429,3.492,True
20,1746389503.937,1746389507.432,3.495,True
9,1746389503.913,1746389507.451,3.537,True
36,1746389503.957,1746389507.454,3.497,True
1,1746389503.907,1746389507.454,3.547,True
15,1746389503.933,1746389507.467,3.534,True
11,1746389503.919,1746389507.467,3.549,True
2,1746389503.907,1746389507.467,3.560,True
17,1746389503.935,1746389507.488,3.553,True
48,1746389503.966,1746389507.497,3.531,True
8,1746389503.910,1746389507.498,3.588,True
26,1746389503.946,1746389507.500,3.554,True
27,1746389503.947,1746389507.500,3.553,True
30,1746389503.949,1746389507.500,3.551,True
12,1746389503.919,1746389507.511,3.592,True
32,1746389503.951,1746389507.512,3.561,True
49,1746389503.967,1746389507.519,3.552,True
31,1746389503.950,1746389507.526,3.576,True
29,1746389503.949,1746389507.526,3.577,True
7,1746389503.909,1746389507.535,3.626,True
40,1746389503.959,1746389507.558,3.600,True
